AcX,AcY,AcZ,GyX,GyY,GyZ,time
-32768,-18256,2344,-1060,32767,20952,98095
-28556,-12372,-6148,-4310,-19667,9787,98116
16872,-24216,-9876,-9951,-26061,-1566,98137
21504,-15604,-2540,-7156,-8183,-11172,98158
10700,-18696,8488,-4115,4495,12868,98179
-1700,-14472,6764,-7042,4195,4690,98200
1464,-17920,-2820,-6943,1724,4694,98221
5112,-17556,-5464,-5831,2633,4487,98242
1464,-18176,752,-3881,957,4270,98263
4984,-17032,524,-3410,-35,5166,98284
7160,-17164,-3528,-3278,5119,6970,98305
1460,-16872,-2496,-2057,8027,7462,98326
-2160,-17192,396,-1174,3693,6644,98347
1460,-17860,256,-449,1097,5801,98368
916,-17032,204,-163,2667,5556,98389
232,-17844,-984,477,1189,5217,98410
596,-16888,-1144,952,789,4929,98431
-104,-16560,2564,869,1018,4325,98452
1576,-16800,-956,1233,1770,4131,98473
2528,-18192,-2912,2371,4577,5167,98494
-1680,-16892,-560,3014,4697,4796,98515
-2384,-16064,-600,2767,2073,3519,98536
-300,-16408,124,2837,608,2944,98559
-1000,-15772,1084,2686,2532,2243,98580
-2204,-15536,1068,2711,2360,1358,98601
-708,-16500,-576,2947,2558,708,98622
-1076,-16288,-996,3328,2809,600,98643
-1956,-16716,980,3889,1426,207,98664
548,-16264,776,4540,2482,140,98685
-216,-16160,296,5239,5145,624,98706
-1344,-17392,276,6237,5522,704,98727
-476,-18064,-1492,7752,4393,836,98748
-36,-16336,-752,8995,4211,1836,98769
3096,-16920,-724,9594,4599,3346,98790
1736,-19536,1448,9884,9521,4753,98811
-2028,-22404,3916,11118,7637,4323,98832
3244,-23724,1920,12980,6289,2918,98853
5568,-19020,920,14183,11707,4066,98874
944,-18228,2956,14985,19029,4033,98895
1528,-17232,1076,14911,26230,899,98916
3868,-17760,-1420,14291,32767,-992,98937
10800,-12820,-23228,6908,32767,-2111,98958
-3544,-15068,-15000,8677,32767,806,98979
-15732,-15120,-7280,8733,32767,-1854,99000
-5788,-14620,-3640,10179,26297,-3608,99021
3296,-13064,-8304,8037,25508,-8148,99042
